country;designation;points;price;province;region_1;region_2;variety;winery;last_year_points
US;Abetina;94;105.0;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Ponzi;98
US;Garys' Vineyard;94;60.0;California;Santa Lucia Highlands;Central Coast;Pinot Noir;Roar;91
US;The Funk Estate;94;60.0;Washington;Walla Walla Valley (WA);Columbia Valley;Syrah;Saviah;97
Bulgaria;Bergulé;90;15.0;Bulgaria;;;Mavrud;Villa Melnik;94
US;Babushka;90;37.0;California;Russian River Valley;Sonoma;Chardonnay;Zepaltas;93
Italy;Vigna Piaggia;90;;Tuscany;Brunello di Montalcino;;Sangiovese;Abbadia Ardenga;89
France;Nonpareil Trésor Rosé Brut;90;22.0;France Other;Vin Mousseux;;Sparkling Blend;Bouvet-Ladubay;86
US;Conner Lee Vineyard;90;42.0;Washington;Columbia Valley (WA);Columbia Valley;Chardonnay;Buty;80
Italy;Riserva;90;135.0;Tuscany;Brunello di Montalcino;;Sangiovese;Carillon;84
France;;90;60.0;Rhône Valley;Châteauneuf-du-Pape;;Rhône-style White Blend;Clos de L'Oratoire des Papes;98
Italy;;90;29.0;Tuscany;Vino Nobile di Montepulciano;;Sangiovese;Avignonesi;88
Italy;;90;23.0;Tuscany;Chianti Classico;;Sangiovese;Casina di Cornia;82
Italy;Riserva;90;29.0;Tuscany;Chianti Classico;;Red Blend;Castello di Monterinaldi;80
Spain;Amandi;90;17.0;Galicia;Ribeira Sacra;;Mencía;Don Bernardino;88
Spain;Alfonso Oloroso Seco;90;26.0;Andalucia;Jerez;;Palomino;González Byass;82
US;Private Reserve;90;55.0;Idaho;;;Petite Sirah;Huston;82
Italy;Riserva;90;39.0;Tuscany;Chianti Classico;;Red Blend;Rignana;93
France;Coteaux;90;69.0;Rhône Valley;Cornas;;Syrah;Tardieu-Laurent;84
Italy;Vigneto Odoardo Beccari Riserva;90;30.0;Tuscany;Chianti Classico;;Red Blend;Vignavecchia;100
Italy;Poggio alle Mura;90;90.0;Tuscany;Brunello di Montalcino;;Sangiovese;Banfi;99
US;Estate Grown;90;60.0;California;Mount Veeder;Napa;Cabernet Sauvignon;Brandlin;99
Italy;;90;50.0;Tuscany;Brunello di Montalcino;;Sangiovese;Brunelli Martoccia;98
US;;90;40.0;Washington;Red Mountain;Columbia Valley;Cabernet Sauvignon;Canvasback;84
Italy;Riserva;90;100.0;Tuscany;Brunello di Montalcino;;Sangiovese;Capanne Ricci;91
France;;90;68.0;Burgundy;Chassagne-Montrachet;;Chardonnay;Chartron et Trébuchet;83
France;Les 7 Hommes;90;42.0;Loire Valley;Sancerre;;Sauvignon Blanc;Cherrier Frères;82
France;L'Inédit;90;28.0;Loire Valley;Coteaux du Giennois;;Pinot Noir;Clement et Florian Berthier;95
US;;90;18.0;California;Russian River Valley;Sonoma;Chardonnay;De Loach;88
US;Four Flags;90;69.0;Washington;Red Mountain;Columbia Valley;Cabernet Sauvignon;DeLille;92
France;Le Pavé;90;;Loire Valley;Sancerre;;Sauvignon Blanc;Domaine Vacheron;80
US;Reserve;90;25.0;New York;Finger Lakes;Finger Lakes;Riesling;Dr. Konstantin Frank;91
US;Final Final;90;30.0;Washington;Columbia Valley (WA);Columbia Valley;Cabernet Sauvignon-Syrah;Efeste;94
Italy;Poggio Bestiale;90;60.0;Tuscany;Maremma Toscana;;Red Blend;Fattoria di Magliano;86
Argentina;The Apple Doesn't Fall Far From The Tree;91;30.0;Mendoza Province;Mendoza;;Malbec;Matias Riccitelli;89
Australia;;91;36.0;Victoria;Mornington Peninsula;;Pinot Noir;Moorooduc;84
Argentina;Alegoría Gran Reserva;91;25.0;Mendoza Province;Mendoza;;Malbec;Navarro Correas;98
France;L'Homme Mort Premier Cru;91;45.0;Burgundy;Chablis;;Chardonnay;Domaine Chenevières;81
Portugal;;91;23.0;Alentejano;;;Portuguese Red;Herdade do Rocim;82
US;Estate Select;91;36.0;California;Santa Clara Valley;Central Coast;Syrah;Jason-Stephens;94
France;Fourchaume Premier Cru;91;38.0;Burgundy;Chablis;;Chardonnay;Louis Max;80
US;Animo;91;85.0;California;Napa Valley;Napa;Cabernet Sauvignon;Michael Mondavi Family Estate;82
US;Schindler Vineyard;91;50.0;Oregon;Eola-Amity Hills;Willamette Valley;Pinot Noir;Panther Creek;94
US;Barrel Select;91;60.0;California;Rutherford;Napa;Cabernet Sauvignon;Provenance Vineyards;87
US;District Collection;91;85.0;California;St. Helena;Napa;Cabernet Sauvignon;Raymond;85
US;;91;45.0;California;Sonoma Coast;Sonoma;Pinot Noir;Red Car;87
Italy;Bussia Riserva;91;;Piedmont;Barolo;;Nebbiolo;Silvano Bolmida;90
US;;91;19.0;Oregon;Willamette Valley;Willamette Valley;Pinot Gris;Trinity Vineyards;84
Portugal;Premium;91;15.0;Alentejo;;;Portuguese Red;Adega Cooperativa de Borba;95
US;Premier Cuvée;91;54.0;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Archery Summit;93
France;Le Nombre d'Or Brut Nature;91;85.0;Champagne;Champagne;;Chardonnay;Aubry;97
US;Juliana Vineyard;91;38.0;California;Napa Valley;Napa;Sauvignon Blanc;B Cellars;94
US;;91;28.0;California;Napa Valley;Napa;Cabernet Sauvignon;B Side;83
Italy;Boscato;91;75.0;Piedmont;Barolo;;Nebbiolo;Bel Colle;85
US;Aeolian;91;42.0;Oregon;Eola-Amity Hills;Willamette Valley;Pinot Noir;Bethel Heights;82
Israel;Reserve;91;25.0;Upper Galilee;;;Cabernet Sauvignon;Binyamina;90
Italy;Palliano Riserva;91;;Piedmont;Roero;;Nebbiolo;Ceste;92
Italy;del Comune di Serralunga d'Alba;91;59.0;Piedmont;Barolo;;Nebbiolo;Cascina Cucco;92
Italy;Bricco Luciani;91;85.0;Piedmont;Barolo;;Nebbiolo;Cascina del Monastero;98
Italy;Bricco Gattera;91;80.0;Piedmont;Barolo;;Nebbiolo;Cordero di Montezemolo;100
France;Montmains Premier Cru;91;45.0;Burgundy;Chablis;;Chardonnay;Domaine Gérard Duplessis;83
US;;91;22.0;California;Napa Valley;Napa;Cabernet Sauvignon;Eagle Glen;85
US;Bacigalupi Vineyard;91;65.0;California;Russian River Valley;Sonoma;Pinot Noir;Eleven Eleven;94
US;Magnificat;91;50.0;California;Napa Valley;Napa;Meritage;Franciscan;90
US;;86;10.0;California;California;California Other;Cabernet Sauvignon;Belle Ambiance;83
Portugal;Marquês de Marialva Rosé Bruto;86;12.0;Beira Atlantico;;;Baga;Adega de Cantanhede;95
Italy;Nature;86;22.0;Veneto;Prosecco;;Glera;De Stefani;83
US;Small Lot Blend;86;13.0;California;Mendocino County;Mendocino/Lake Counties;Chardonnay;Parducci;87
Portugal;Muros de Vinha;86;10.0;Douro;;;Portuguese Red;Quinta do Portal;98
France;Château Beauvillain-Monpezat;86;14.0;Southwest France;Cahors;;Malbec-Merlot;Rigal;87
US;;86;18.0;California;California;California Other;Chardonnay;The Naked Grape;86
US;;86;36.0;California;Sonoma Valley;Sonoma;Cabernet Sauvignon;Tin Barn;88
France;Pigmentum;86;15.0;Southwest France;Buzet;;Merlot-Malbec;Georges Vigouroux;96
France;Pigmentum;86;10.0;Southwest France;Côtes de Gascogne;;Ugni Blanc-Colombard;Georges Vigouroux;91
US;;86;24.0;California;South Coast;South Coast;Viognier;Hawk Watch Winery;88
US;Stephanie;86;50.0;California;Napa Valley;Napa;Cabernet Sauvignon;Hestan;85
Italy;;86;45.0;Tuscany;Brunello di Montalcino;;Sangiovese;Il Grappolo;85
US;Bella's Blend;86;48.0;California;Knights Valley;Sonoma;Cabernet Sauvignon-Cabernet Franc;Ehret;86
US;Tears of Dew Late Harvest;86;20.0;California;Paso Robles;Central Coast;Moscato;EOS;88
US;Tudor Hills Vineyard;86;17.0;Washington;Yakima Valley;Columbia Valley;Pinot Grigio;Martinez & Martinez;92
US;;86;12.0;California;Lodi;Central Valley;Cabernet Franc;Ironstone;96
US;;86;10.0;California;California;California Other;Chardonnay;Leaping Horse;89
US;;86;13.0;California;California;California Other;White Blend;Kitchen Sink;81
US;Homestead Block;86;45.0;California;Napa Valley;Napa;Chardonnay;Kuleto Estate;93
Portugal;Companhia das Lezírias Herdade de Catapereiro Single Vineyard;86;12.0;Tejo;;;Portuguese Red;Wines & Winemakers;81
Argentina;Terroir Único Pinot Noir;86;12.0;Mendoza Province;Tupungato;;Rosé;Zorzal;99
US;Limited Release Cold Springs Vineyard;86;125.0;California;Howell Mountain;Napa;Cabernet Sauvignon;Charles Krug;89
US;Castle Hill Vineyard;86;25.0;New York;Hudson River Region;New York Other;Riesling;Millbrook;86
South Africa;Circumstance;86;20.0;Stellenbosch;;;Sauvignon Blanc;Waterkloof;97
Argentina;Reserva;86;15.0;Mendoza Province;Valle de Uco;;Malbec;Viñalba;96
Spain;Dulce Tinto;86;;Levante;Jumilla;;Monastrell;Casa de la Ermita;88
France;;86;20.0;Southwest France;Gaillac;;Rosé;Château Clément Termes;86
France;Il est des nôôôtres!;86;15.0;Southwest France;;;Gamay;Château Coutinel;89
Portugal;Convento da Vila;86;7.0;Alentejano;;;Portuguese Red;Adega Cooperativa de Borba;99
US;The Flyer;91;59.0;California;Russian River Valley;Sonoma;Pinot Noir;MacPhail;80
US;Charles Vineyard Clone 05;91;49.0;California;Anderson Valley;Mendocino/Lake Counties;Pinot Noir;Foursight;95
US;Solomon Hills Vineyard Rosé;91;42.0;California;Santa Maria Valley;Central Coast;Sparkling Blend;Goat Bubbles;95
US;Paris Tasting Commemorative;91;93.0;California;Napa Valley;Napa;Chardonnay;Grgich Hills;99
US;Methode a l'Ancienne;91;32.0;California;Anderson Valley;Mendocino/Lake Counties;Pinot Noir;Navarro;98
US;;91;20.0;California;Anderson Valley;Mendocino/Lake Counties;Pinot Noir;Navarro;99
US;Grand Wren;90;100.0;California;Amador County;Sierra Foothills;Zinfandel;Renwood;92
US;Central Park West Vineyard;90;50.0;California;St. Helena;Napa;Cabernet Sauvignon;Trinchero;100
Spain;Arnegui Reserva;90;22.0;Northern Spain;Rioja;;Tempranillo;Pagos del Rey;93
Italy;Chianta Bianco;90;45.0;Sicily & Sardinia;Etna;;White Blend;Biondi;97
Italy;;90;18.0;Southern Italy;Greco di Tufo;;Greco;Cantine di Marzo;92
US;;90;45.0;California;Santa Lucia Highlands;Central Coast;Chardonnay;Alexander-Smith;83
US;Cooper Ranch;90;26.0;California;Amador County;Sierra Foothills;Barbera;Andis;96
US;;90;16.0;California;Sonoma County;Sonoma;Chardonnay;Benziger;81
US;Longwood;90;30.0;California;Napa Valley;Napa;Cabernet Sauvignon;Beaucanon;92
US;Estate;90;42.0;California;Adelaida District;Central Coast;Grenache;Brecon Estate;81
US;Mustang Springs;90;38.0;California;Adelaida District;Central Coast;Zinfandel;Peachy Canyon;90
US;SMC;90;48.0;California;California;California Other;Rhône-style Red Blend;Three;87
Spain;Crianza;90;17.0;Northern Spain;Rioja;;Tempranillo;Valdelacierva;92
France;Le;90;18.0;Languedoc-Roussillon;Coteaux du Languedoc Pic Saint Loup;;Rosé;Château de Lancyre;91
France;;90;15.0;Bordeaux;Bordeaux Rosé;;Rosé;Château Suau;83
US;Rte Blanc;90;28.0;California;Napa Valley;Napa;Sauvignon Blanc;Clif Family;88
US;Hook Vineyard;90;25.0;California;Santa Lucia Highlands;Central Coast;Grenache;Santa Cruz Mountain Vineyard;83
US;;90;26.0;Oregon;Applegate Valley;Southern Oregon;Chardonnay;Schmidt;81
US;Jespersen Ranch;90;24.0;California;Edna Valley;Central Coast;Albariño;Stephen Ross;96
US;;90;55.0;California;Anderson Valley;Mendocino/Lake Counties;Pinot Noir;Goldeneye;90
US;Estate Grown;90;36.0;California;Napa Valley;Napa;Zinfandel;Grgich Hills;80
Spain;;90;17.0;Galicia;Rías Baixas;;Albariño;Mar de Viñas;89
US;;90;40.0;California;Sta. Rita Hills;Central Coast;Syrah;Kessler-Haak;85
US;;90;28.0;California;Ballard Canyon;Central Coast;Malvasia Bianca;Larner;89
US;;89;50.0;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Bomb;86
Greece;Kapnias;89;24.0;Atalanti Valley;;;White Blend;Hatzimichalis;95
Spain;Brut Reserva;89;17.0;Catalonia;Cava;;Sparkling Blend;Bohigas;87
Greece;;89;21.0;Santorini;;;Assyrtiko;Boutari;94
Greece;Axia Malagouzia;89;18.0;Florina;;;Malagouzia;Alpha Estate;92
Chile;Ecos de Rulo Single Vineyard El Chequén Estate;89;20.0;Marchigue;;;Carmenère;Viña Bisquertt;88
France;;89;20.0;Southwest France;Cahors;;Bordeaux-style Red Blend;Chateau Quattre;81
US;;89;24.0;Oregon;Rogue Valley;Southern Oregon;Sangiovese;Ledger David;92
Spain;Viña Real Gran Reserva;89;44.0;Northern Spain;Rioja;;Tempranillo;CVNE;80
Chile;Fina Reserva Ensamblaje Malbec-Cabernet Sauvignon-Syrah;89;19.0;Colchagua Valley;;;Red Blend;Estampa;88
US;Range 30 West;89;42.0;California;Happy Canyon of Santa Barbara;Central Coast;Bordeaux-style Red Blend;Foxen 7200;88
US;;89;35.0;Oregon;Oregon;Oregon Other;Pinot Noir;Irvine Family Vineyards;80
Spain;Gaudium;89;44.0;Northern Spain;Rioja;;Tempranillo Blend;Marqués de Cáceres;95
US;;89;16.0;California;Dunnigan Hills;Central Valley;Syrah;Matchbook;99
US;Mill Road Vineyard;89;23.0;California;Paso Robles;Central Coast;Viognier;Eberle;80
US;Freedom Hill Vineyard;89;36.0;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Silvan Ridge;98
Italy;Le Redini;89;25.0;Tuscany;Toscana;;Red Blend;Tenuta degli Dei;94
Italy;Il Guardiano;89;22.0;Tuscany;Toscana;;Red Blend;Poggio Mandorlo;81
Portugal;;89;20.0;Douro;;;Touriga Nacional;Quinta das Carvalhas;95
US;Del Arroyo Vineyard;89;25.0;California;Livermore Valley;Central Coast;Chardonnay;Occasio;83
US;;89;42.0;California;Sta. Rita Hills;Central Coast;Pinot Noir;Sanford;85
Chile;Family Collection;89;30.0;Curicó Valley;;;Cabernet Sauvignon-Cabernet Franc;Santa Alba;86
Greece;;89;17.0;Nemea;;;Agiorgitiko;Boutari;99
US;Charles Vineyard Clone O5;89;49.0;California;Anderson Valley;Mendocino/Lake Counties;Pinot Noir;Foursight;82
France;Héritages Elevé en Foudres de Chêne;89;16.0;Rhône Valley;Côtes du Rhône;;Rhône-style Red Blend;Ogier;89
Spain;Gran Bajoz;89;30.0;Northern Spain;Toro;;Tinta de Toro;Pagos del Rey;98
Italy;Palazzo Altesi;89;40.0;Tuscany;Toscana;;Sangiovese;Altesino;82
Italy;Il Borgo;89;57.0;Tuscany;Toscana;;Red Blend;Cabreo;95
US;Lot 525;89;29.0;California;Napa Valley;Napa;Cabernet Sauvignon;Cameron Hughes;81
Chile;Perla Negra;89;61.0;Maule Valley;;;Red Blend;Casa Donoso;89
US;;88;25.0;California;Sonoma Coast;Sonoma;Chardonnay;Rodney Strong;96
US;Estate Reserve;88;25.0;California;Paso Robles;Central Coast;Syrah;San Simeon;100
US;Sonatera Vineyard;88;49.0;California;Sonoma Coast;Sonoma;Pinot Noir;Siduri;86
Argentina;Trinità Grand Reserve;88;26.0;Mendoza Province;Luján de Cuyo;;Bordeaux-style Red Blend;Piattelli;87
US;Entwined;88;34.0;Washington;Columbia Valley (WA);Columbia Valley;Bordeaux-style Red Blend;Pondera;96
US;French Camp Vineyard;88;38.0;California;Paso Robles;Central Coast;Zinfandel;Tobin James;96
US;French Camp Vineyard;88;38.0;California;Paso Robles;Central Coast;Zinfandel;Tobin James;93
Spain;Sobre Lías;88;25.0;Northern Spain;Valdeorras;;Godello;Valdesil;90
Spain;Negre;87;22.0;Catalonia;Montsant;;Red Blend;Jaspi;83
Argentina;Reserve;87;15.0;Mendoza Province;Tupungato;;Malbec;Tupun;91
France;;87;20.0;Bordeaux;Graves;;Bordeaux-style Red Blend;Château Beauregard Lagupeau;93
France;;87;25.0;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château du Taillan;94
France;;87;20.0;Bordeaux;Saint-Estèphe;;Bordeaux-style Red Blend;Château la Haye;95
France;;87;20.0;Bordeaux;Fronsac;;Bordeaux-style Red Blend;Château Lalande Mausse;92
France;;87;25.0;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château Magnol;80
US;;87;10.0;California;California;California Other;Chardonnay;Grand Pacific;97
US;Rosé of;87;18.0;Washington;Columbia Valley (WA);Columbia Valley;Malbec;Hamilton;98
US;Ingle Vineyard Unoaked;87;18.0;New York;Finger Lakes;Finger Lakes;Chardonnay;Heron Hill;100
US;Semi-Dry;87;14.0;New York;Finger Lakes;Finger Lakes;Riesling;Heron Hill;80
US;Semi-Dry;87;14.0;New York;Finger Lakes;Finger Lakes;Riesling;Fox Run;94
US;Ice Wine;87;40.0;New York;Finger Lakes;Finger Lakes;Cabernet Franc;Glenora;93
France;;87;18.0;Bordeaux;Médoc;;Bordeaux-style Red Blend;Château Roc Taillade;96
France;;87;20.0;Bordeaux;Haut-Médoc;;Bordeaux-style Red Blend;Château Sénéjac;90
US;;87;10.0;Washington;Columbia Valley (WA);Columbia Valley;Gewürztraminer;Chateau Ste. Michelle;99
US;;87;11.0;Washington;Columbia Valley (WA);Columbia Valley;Merlot;Castle Rock;98
US;;87;36.0;Washington;Columbia Valley (WA);Columbia Valley;Cabernet Sauvignon;Dussek Family Cellars;99
US;;87;20.0;New York;Finger Lakes;Finger Lakes;Cabernet Franc;Serenity;100
US;Weinbau;87;32.0;Washington;Wahluke Slope;Columbia Valley;Grenache;Sol Stone;92
Spain;Yá Cuvée 23 Brut Rosé;87;18.0;Catalonia;Cava;;Sparkling Blend;Sumarroca;88
Portugal;Reserva;93;55.0;Douro;;;Portuguese Red;Poças;95
Italy;Nervo;93;49.0;Piedmont;Barbaresco;;Nebbiolo;Rizzi;91
US;Rocky Ridge Vineyard;93;50.0;California;Rockpile;Sonoma;Zinfandel;Robert Biale;96
Italy;Fausoni;93;58.0;Piedmont;Barbaresco;;Nebbiolo;Sottimano;85
France;Rosacker Grand Cru;93;39.0;Alsace;Alsace;;Riesling;Domaine Jean-Luc Mader;96
France;Clos Häuserer Wintzenheim;93;65.0;Alsace;Alsace;;Riesling;Domaine Zind-Humbrecht;81
Morocco;Domaine Excelcio;93;35.0;Guerrouane;;;Syrah-Grenache;Bernard Magrez;96
Italy;;93;80.0;Piedmont;Barolo;;Nebbiolo;Borgogno;89
France;Pfingstberg Paradis Grand Cru;93;42.0;Alsace;Alsace;;Riesling;Domaine François Schmitt;88
France;Altenberg de Bergheim Grand Cru Vieilles Vignes;93;61.0;Alsace;Alsace;;Riesling;Gustave Lorentz;88
US;Collaboration Series VI Ciel du Cheval Vineyard;93;58.0;Washington;Red Mountain;Columbia Valley;G-S-M;Force Majeure;83
US;Hastings Ranch Vineyard;93;38.0;California;Paso Robles;Central Coast;Mourvèdre;Anglim;86
France;Heissenberg;93;48.0;Alsace;Alsace;;Riesling;Domaine Ostertag;81
US;Stagecoach Vineyards The Biale Block;93;50.0;California;Napa Valley;Napa;Zinfandel;Robert Biale;84
Italy;Pajorè;93;58.0;Piedmont;Barbaresco;;Nebbiolo;Sottimano;92
France;;93;120.0;Bordeaux;Sauternes;;Bordeaux-style White Blend;Château Raymond-Lafon;82
US;Estate;93;50.0;California;Fort Ross-Seaview;Sonoma;Syrah;Red Car;99
US;Collaboration Series V Ciel du Cheval Vineyard;93;80.0;Washington;Red Mountain;Columbia Valley;Cabernet Sauvignon;Force Majeure;99
US;White Hawk Vineyard;93;40.0;California;Santa Barbara County;Central Coast;Syrah;Mulvane Wine Co.;84
Portugal;Quinta dos Quatro Ventos Reserva;93;41.0;Douro;;;Portuguese Red;Caves Aliança;87
US;Double Canyon Vineyard;93;48.0;Washington;Horse Heaven Hills;Columbia Valley;Cabernet Sauvignon;Double Canyon;95
US;Red Rock Terrace;93;200.0;California;Napa Valley;Napa;Cabernet Sauvignon;Diamond Creek;98
US;Ciel du Cheval Vineyard;93;39.0;Washington;Red Mountain;Columbia Valley;Petit Verdot;Côtes de Ciel;81
US;Kingpin;93;62.0;Washington;Red Mountain;Columbia Valley;Cabernet Sauvignon;Sparkman;87
Italy;;93;43.0;Piedmont;Barbaresco;;Nebbiolo;Punset;90
France;Domaine Saint-Rémy Schlosberg Grand Cru;92;35.0;Alsace;Alsace;;Riesling;Domaine Ehrhart;83
France;Pfersigberg Grand Cru;92;48.0;Alsace;Alsace;;Riesling;Domaine Zinck;85
France;Calcaire;92;55.0;Alsace;Alsace;;Riesling;Domaine Zind-Humbrecht;95
Portugal;Dona Maria Reserva;92;40.0;Alentejano;;;Portuguese Red;Dona Maria-Júlio Bastos;93
Italy;Coste Rubin;92;69.0;Piedmont;Barbaresco;;Nebbiolo;Fontanafredda;85
France;;88;16.0;Bordeaux;Blaye Côtes de Bordeaux;;Bordeaux-style Red Blend;Château Chantemerle;80
France;;88;16.0;Bordeaux;Bordeaux Blanc;;Bordeaux-style White Blend;Château Chaubinet;99
France;;88;;Bordeaux;Pessac-Léognan;;Bordeaux-style White Blend;Château Ferran;98
France;;88;15.0;Bordeaux;Côtes de Bourg;;Bordeaux-style Red Blend;Château Fongalan;93
France;;88;13.0;Bordeaux;Bordeaux Blanc;;Bordeaux-style White Blend;Château Mezain;82
US;;88;28.0;California;Carneros;Napa-Sonoma;Chardonnay;Clos du Val;92
US;Estate;88;36.0;Oregon;McMinnville;Willamette Valley;Pinot Noir;Coeur de Terre;80
Romania;La Umbra;88;9.0;Colinele Dobrogei;;;Rosé;Cramele Halewood;84
US;Limited Selection;88;24.0;California;Central Coast;Central Coast;Chardonnay;Daniel Gehrs;90
US;Cuvée Luke Saralee's Vineyard;88;30.0;California;Russian River Valley;Sonoma;Rhône-style White Blend;Davis Family;88
US;;88;25.0;California;Sonoma County;Sonoma;Merlot;Decoy;88
Italy;;88;34.0;Piedmont;Barolo;;Nebbiolo;Reversanti;81
US;Wits' End;88;60.0;Oregon;Chehalem Mountains;Willamette Valley;Pinot Noir;Roco;81
US;Toyon Farm;88;54.0;California;Carneros;Napa-Sonoma;Pinot Noir;Saintsbury;99
US;Early;88;15.0;Oregon;Willamette Valley;Willamette Valley;Muscat;Silvan Ridge;85
Italy;Bussia;88;56.0;Piedmont;Barolo;;Nebbiolo;Silvano Bolmida;85
US;Estate;88;20.0;California;Napa Valley;Napa;Sauvignon Blanc;St. Supéry;88
US;Guidotti Vineyard;88;61.0;California;Santa Lucia Highlands;Central Coast;Pinot Noir;Testarossa;94
Italy;;88;46.0;Piedmont;Barolo;;Nebbiolo;Trediberri;91
Spain;Prestigio;88;30.0;Northern Spain;Cigales;;Tempranillo;Val de Los Frailes;89
Spain;Crianza;88;17.0;Central Spain;La Mancha;;Tempranillo Blend;Yuntero;98
France;Noctambule;88;;Loire Valley;Crémant de Loire;;Chenin Blanc-Chardonnay;Musset-Roullier;88
US;Querida;88;40.0;California;Paso Robles;Central Coast;Cabernet Sauvignon-Merlot;Oso Libre;93
US;Primoroso;88;39.0;California;Paso Robles;Central Coast;Red Blend;Oso Libre;93
Italy;del Comune di Serralunga d'Alba;88;49.0;Piedmont;Barolo;;Nebbiolo;Palladino;81
France;Domaine de Saint-Pierre;88;23.0;Loire Valley;Sancerre;;Sauvignon Blanc;Pierre Prieur et Fils;96
US;;88;16.0;California;Monterey County;Central Coast;Pinot Grigio;Bargetto;98
US;Anna's Estate Vineyard;88;32.0;California;Paso Robles;Central Coast;Mourvèdre;Adelaida;96
US;;88;18.0;California;Santa Barbara County;Central Coast;Chardonnay;Alma Rosa;88
Argentina;Single Vineyard Reserva;88;15.0;Mendoza Province;Agrelo;;Cabernet Sauvignon;Lamadrid;86
France;Pertuisots Premier Cru;92;92.0;Burgundy;Beaune;;Pinot Noir;Domaine de Bellene;84
France;Clos du Cailleret Premier Cru;92;94.0;Burgundy;Chassagne-Montrachet;;Chardonnay;Domaine Vincent Girardin;90
US;Haynes Vineyard;92;58.0;California;Coombsville;Napa;Chardonnay;Failla;93
US;Suzuri Series Shake Ridge Ranch;92;50.0;California;Amador County;Sierra Foothills;Rhône-style Red Blend;Gallica;92
US;Vintage Brut;92;48.0;California;Russian River Valley;Sonoma;Sparkling Blend;J Vineyards & Winery;98
US;;92;32.0;California;Sonoma Coast;Sonoma;Pinot Noir;Les Voleurs;82
Italy;Sirmian;92;27.0;Northeastern Italy;Alto Adige;;Pinot Bianco;Nals Margreid;99
Portugal;Portal do Fidalgo;92;35.0;Vinho Verde;;;Alvarinho;Provam;99
Portugal;Mirabilis Grande Reserva;92;95.0;Douro;;;Portuguese White;Quinta Nova de Nossa Senhora do Carmo;100
US;Solomon Hills Vineyard;92;43.0;California;Santa Maria Valley;Central Coast;Pinot Noir;Ryan Cochrane;94
Italy;Monte Carbonare;92;33.0;Veneto;Soave Classico;;Garganega;Suavia;84
